Company,brand_name,key ingredients,key benefits,rating,number of rating
Dr Willmar Schwabe India Aesculus Hippocastanum Mother Tincture Q,Dr Willmar Schwabe India Pvt Ltd,NA,NA,4.5,104 Ratings
SBL Eupatorium Perfoliatum Dilution 200 CH,SBL Pvt Ltd,NA,"['Helps to relieve limb and muscle pain', 'Useful in cases of dengue and malaria', 'Aids in reducing soreness in the chest']",4.6,412 Ratings
ADEL 43 Cardinorma Drop,Adel Pekana Germany,NA,"['Acts as a powerful stimulant for the gallbladder', 'Promotes stomach secretion and elimination of urea', 'Helps treat dyspepsia and hepatogenic gastritis that affect the heart', ""Improves the patient's blood pressure and relaxes the blood vessels to help the heart heal""]",4.3,29 Ratings
ADEL Merc Sol Dilution 30 CH,Adel Pekana Germany,NA,"['It may help in managing oily sweat on the head', 'It can relieve sneezing', 'It can help in managing nose bleeds and foul smelling', 'It may help in managing sensitivity to slight changes in heat and cold']",4.7,86 Ratings
Dr. Reckeweg Syzygium Jamb Mother Tincture Q,Dr Reckeweg & Co,NA,"['Helps to manage blood sugar levels', 'Helps to provide relief in case of formication and prickly heat in upper limbs', 'Facilitates aid in case of skin problems such as ulcers and red papules', 'Useful in case of indigestion and diarrhoea', 'Helps to overcome weakness and fatigue']",4.7,241 Ratings
SBL Liv T Tonic,SBL Pvt Ltd,NA,"['It helps manage various liver conditions like jaundice, hepatitis and indigestion', 'It combats liver disorders caused by chronic gastric indiscretion, viral and bacterial infection, drugs, chemicals and alcohol', 'It rejuvenates the hepatic cells, detoxifies the liver and promotes the flow of bile', 'It helps to provide relief in case of lack of appetite']",4.5,821 Ratings
SBL Berberis Vulgaris Dilution 30 CH,SBL Pvt Ltd,NA,"['Has antioxidant properties', 'Helps manage diarrhoea', 'Supports liver health', 'Promotes kidney health']",4.4,128 Ratings
Dr. Reckeweg Bio-Combination 27 (BC 27) Tablet,Dr Reckeweg & Co,NA,"['Helps reduce general weakness', 'Relieves chronic fatigue', 'Aids in the treatment of lethargy']",4.2,36 Ratings
Allen A39 Anti Obesity Drop,Allen Homoeo & Herbal Products Ltd,NA,"['Manages weight and incipient goitre', 'Reduces water retention weight', 'Manages glandular secretion']",4.3,62 Ratings
SBL Iodium Dilution 30 CH,SBL Pvt Ltd,NA,NA,4.4,203 Ratings
Allen A78 Chronic Anxiety Drop,Allen Homoeo & Herbal Products Ltd,NA,NA,4.5,62 Ratings
Boericke and Tafel Calendula & Aloe Vera Multipurpose Cream,Dr Willmar Schwabe India Pvt Ltd,NA,"['It can help to moisturise your skin', 'It can help to smoothen your skin texture', 'It can help to give your skin a glowing effect', 'It has antiseptic properties', 'It can help to reduce dark spots and blemishes']",4.5,87 Ratings
Dr. Reckeweg R12 Calcification Drop,Dr Reckeweg & Co,NA,"['Aids in supporting the nervous system', 'Enhances muscle strength of the body', 'Helps in the treatment of blood congestion']",4.7,42 Ratings
SBL Cina Dilution 30 CH,SBL Pvt Ltd,NA,NA,4.5,182 Ratings
Allen A26 Piles Drop,Allen Homoeo & Herbal Products Ltd,NA,"['Manages fissures, haemorrhoids, and piles', 'Manages movement of the bowels', 'Reduces piles, fistula and any other anorectal diseases']",4.3,93 Ratings
LDD Bioscience Kalmegh Mother Tincture Q,LDD Bioscience Pvt Ltd,NA,"['Helps treat liver infections', 'Improves appetite and digestion', 'Provides relief from abdominal pain', 'Effective for common cold']",4.5,94 Ratings
SBL Wormorid Drop,SBL Pvt Ltd,NA,NA,4.5,76 Ratings
SBL Cochlearia Armoracia Mother Tincture Q,SBL Pvt Ltd,NA,NA,4.5,59 Ratings
SBL Dibonil Tablet,SBL Pvt Ltd,NA,"['It can help to condition high blood pressure and diabetes problems', 'It can help in preventing frequent urination and excessive thirst', 'It can help prevent cramps and muscular pain']",4.7,216 Ratings
SBL Calcarea Fluorica Biochemic Tablet 200X,SBL Pvt Ltd,NA,"['It helps manage varicose veins and other skin disorders', 'It relieves symptoms linked with joint pain and discomfort', 'It is also helpful in reducing the inflammation of thyroid glands', 'It is helpful in the reduction of dental cavities and bleeding gums']",4.5,1452 Ratings
Allen A75 Allergy Drop,Allen Homoeo & Herbal Products Ltd,NA,NA,4.4,65 Ratings
SBL Bacillinum Dilution 200 CH,SBL Pvt Ltd,NA,NA,4.4,118 Ratings
SBL Allium Cepa Dilution 200 CH,SBL Pvt Ltd,NA,"['Offers remedy for respiratory-related concerns', 'Manages eye infections', 'Addresses ocular infections effectively', 'Eases discomfort associated with ear pain', 'Indicated for burning pain in the nose, skin, throat, and bladder']",4.5,497 Ratings
SBL Rosmarinus Officinalis Dilution 30 CH,SBL Pvt Ltd,NA,NA,4.7,85 Ratings
Dr. Reckeweg Fel Tauri Trituration Tablet 3X,Dr Reckeweg & Co,NA,"['Useful for liver disorders', 'Promotes bowel movements', 'Relieves throat and chest constriction', 'Helps in easing bile duct obstruction']",4.5,47 Ratings
Dr Willmar Schwabe India Alpha - SH Tablet,Dr Willmar Schwabe India Pvt Ltd,NA,"['Helps manage infections', 'Aids in recovery from sinuses', 'No side-effects']",4.7,61 Ratings
SBL Magnesia Phosphoricum Dilution 30 CH,SBL Pvt Ltd,NA,"['Alleviates pains and aches', 'Useful for dental pain and headache', 'Provides support for menstrual problems', 'Relieves muscle cramps and twitching']",4.5,264 Ratings
Medisynth Jondila Forte Syrup,Medisynth Chemicals Pvt Ltd,NA,"['Supports liver health', 'Helps to overcome debility', 'Improves digestion']",4.5,129 Ratings
Medisynth Jondila Sugar Free Syrup,Medisynth Chemicals Pvt Ltd,NA,"['Improves digestion', 'Increases appetite', 'Effective in jaundice, gallstones and liver complications']",4.4,205 Ratings
SBL Agaricus Muscarius Dilution 30 CH,SBL Pvt Ltd,NA,NA,4.5,84 Ratings
Medisynth Jondila Forte Syrup,Medisynth Chemicals Pvt Ltd,NA,"['Supports liver health', 'Helps to overcome debility', 'Improves digestion']",4.5,129 Ratings
SBL Petroleum Dilution 200C,SBL Pvt Ltd,NA,"['Useful for skin conditions', 'Relieves joint sprains and stiffness', 'Alleviates nasal discharge', 'Useful for cracks and fissures']",4.5,259 Ratings
Combo Pack of Dr. Reckeweg R41 Sexual Neurasthenia Drop (22ml) & Dr Willmar Schwabe India Damiaplant Drop (30ml),,NA,NA,4,2335 Ratings
Medisynth Jondila Forte Syrup,Medisynth Chemicals Pvt Ltd,NA,"['Supports liver health', 'Helps to overcome debility', 'Improves digestion']",4.5,129 Ratings
SBL Pareira Brava Mother Tincture Q,SBL Pvt Ltd,NA,"['Mainly used for urinary tract disorders', 'Effective for renal colic and prostatic infections', 'Relieves neuralgic pain', 'Reduces inflammation of the urethra']",4.6,67 Ratings
Dr Willmar Schwabe India Leptandra Mother Tincture Q,Dr Willmar Schwabe India Pvt Ltd,NA,"['Chiefly used for liver ailments', 'Alleviates symptoms of jaundice', 'Relieves headaches, dizziness and insomnia', 'Useful for symptoms associated with haemorrhoids']",4.4,23 Ratings
SBL Arsenicum Sulph Flavum Trituration Tablet 3X,SBL Pvt Ltd,NA,"['Useful for skin disorders', 'Helps alleviate sciatica symptoms', 'Relieves rheumatic pains', 'Has analgesic properties']",4.5,100 Ratings
SBL Curcuma Longa Mother Tincture Q,SBL Pvt Ltd,NA,"['Promotes blood purification', 'Useful for skin disorders', 'Useful for urinary tract disorders', 'Relieves joint inflammation and stiffness']",4.3,75 Ratings
Medisynth Diabekoll Non-Sugar Syrup,Medisynth Chemicals Pvt Ltd,NA,"['Regulates blood sugar levels', 'Improves energy levels', 'Relieves general debility', 'Comes in a non-sugar syrup base']",4.4,117 Ratings
Bakson's Homeopathy Card Aid Drop,Bakson Drugs &  Pharmaceuticals Pvt. ltd.,NA,"['It is highly effective homoeopathic medicine for heart health', 'Alleviates heart palpitations, prevents cardiac dropsy, strengthens heart muscle and lowers blood pressure']",4.5,69 Ratings
SBL Sulphur Mother Tincture Q,SBL Pvt Ltd,NA,NA,4.5,117 Ratings
Adven Folli Plus Tablet,Adven Biotech Pvt Ltd,NA,"['Reduces early signs of ageing', 'Prevents dandruff', 'Nourishes hair roots']",4.6,19 Ratings
Dr. Reckeweg R32 Excessive Perspiration Drop,Dr Reckeweg & Co,NA,"['Helps relieve excess perspiration', 'Reduces acute fever', 'Helpful during nocturnal perspiration']",4.1,118 Ratings
SBL Eucalyptus Globulus Mother Tincture Q,SBL Pvt Ltd,NA,NA,4.5,52 Ratings
Dr Willmar Schwabe India Belladonna Dilution 30 CH,Dr Willmar Schwabe India Pvt Ltd,NA,"['Relives issues in the bladder and biliary tract', 'Useful for rheumatic and arthritic pains', 'Helpful for digestive and urinary digestive disorders']",4.7,221 Ratings
SBL Bio-Combination 26 Tablet,SBL Pvt Ltd,NA,"['It improves health of the mother and assists the development of the child', 'It deals with the development of new tissues, blood and bones', 'It supplies new blood cells and forms calcium during lactation']",4.3,50 Ratings
Dr Willmar Schwabe Germany Bryorheum Drop,Dr Willmar Schwabe India Pvt Ltd,NA,"['A powerful homoeopathic remedy for joint pain and rheumatism', 'May be helpful in easing swelling and inflammation', 'Also helpful in relieving back ache', 'Made in Germany with powerful and pure ingredients']",4.4,29 Ratings
Lord's Uricid Drop,Lord's Homoeopathic Laboratory Pvt Ltd,NA,"['A remedy that normalises the functioning of the kidney', 'Redcues the swelling/redness or pain in joints', 'Helps to eliminate the creatinine through improved kidney functioning by increasing the glomerular filteration rate']",4.2,71 Ratings
SBL Bio-Combination 8 Tablet,SBL Pvt Ltd,NA,"['Helps manage thin and watery stools', 'Relieves diarrhoea and associated symptoms', 'Helps alleviate white-coated tongue', 'Helps manage loose morning stools']",4.4,64 Ratings
SBL Cactus Grandiflorus Mother Tincture Q,SBL Pvt Ltd,NA,NA,4.6,75 Ratings
SBL Cascara Sagrada Mother Tincture Q,SBL Pvt Ltd,NA,NA,3.9,35 Ratings
German's Acid Chyrso Antifungal Cream,German Homoeo Care and Cure Pvt. Ltd.,NA,"['Effective in controlling fungal infections and attacks', 'Quick remedy for ringworm, itching, eczema, herpes-tonsurans & herpes circinatus']",3.9,67 Ratings
Dr Willmar Schwabe India Allium Sativum Mother Tincture Q,Dr Willmar Schwabe India Pvt Ltd,NA,NA,4.8,68 Ratings
Dr Willmar Schwabe India Grindelia Pentarkan Ptk 51 Tablet,Dr Willmar Schwabe India Pvt Ltd,NA,NA,4.7,33 Ratings
SBL Sulphur Dilution 6 CH,SBL Pvt Ltd,NA,"['This dilution can help improve skin ailments', 'It soothes the skin and relieves dryness and itchiness', 'It is a homoeopathic medicine']",4.4,1197 Ratings
New Life Bach Flower Walnut 30,New Life Laboratories Pvt Ltd,NA,"['Helps to build emotional stability in people', 'Works as a stress reliever', 'Promotes rational thinking', 'Promotes a healthy change']",4.5,103 Ratings
SBL Thyroidinum Dilution 30 CH,SBL Pvt Ltd,NA,"['Useful in the treatment of hyperthyroidism & hypothyroidism and assoiated ailemnts', 'Effective in treatment of goitre and migraine', 'Reduces general weakness and fatigue', 'Helps in improving digestion']",4.5,213 Ratings
Dr. Reckeweg Cantharis Dilution 200 CH,Dr Reckeweg & Co,NA,"['Primarily used to reduce inflammation of urinary bladder', 'Alleviates kidney pain', 'Possesses antiseptic properties', 'Relieves skin redness and irritation']",4.5,180 Ratings
Medisynth Jondila Forte Syrup,Medisynth Chemicals Pvt Ltd,NA,"['Supports liver health', 'Helps to overcome debility', 'Improves digestion']",4.5,129 Ratings
Bahola Corn Paint,Bahola Labs,NA,"['Safe, effective and painless medication to effectively deal with warts and corns', 'Recommended in all types of warts, corns and also beneficial in treating benign epithelial tumors', 'Does not leave any mark or scar on the skin', 'Reduces tendency to wart formation']",4.1,62 Ratings
Dr. Reckeweg Conium Mac Dilution 30 CH,Dr Reckeweg & Co,NA,"['Useful for urinary infections', 'Helps with inconsistent discharge of urine', 'Promotes healing of ulcers']",4.5,188 Ratings
SBL Stramonium Dilution 30 CH,SBL Pvt Ltd,NA,NA,4.6,116 Ratings
Dr. Reckeweg Mercurius Sol Dilution 200 CH,Dr Reckeweg & Co,NA,"['Manages extremely sensitive to slight change in heat and cold', 'Assists in concerns assocaited with breath, discharges are foul smelling', 'Manages tendency to ulcerations, bleeding, tissue loss easily']",4.5,172 Ratings
SBL Calcarea Fluoricum Dilution 30 CH,SBL Pvt Ltd,NA,NA,4.6,198 Ratings
SBL Wiesbaden Dilution 200 CH,SBL Pvt Ltd,NA,"['Effective solution for hair problems', 'Reduces hair fall and promotes hair growth', 'Aids in strengthening the nails', 'Helps to deal with various skin issues']",4.3,383 Ratings
SBL Acid Benzoicum Dilution 30 CH,SBL Pvt Ltd,NA,NA,4.4,224 Ratings
Bakson's Homeopathy Natrum Sulphuricum Biochemic Tablet 6X,Bakson Drugs &  Pharmaceuticals Pvt. ltd.,NA,"['It can help to maintain good liver health', 'It can help to reduce headaches', 'It may help to condition diarrhoea', 'It also helps to manage symptoms of gout']",4.6,43 Ratings
SBL Sulphur Dilution 1000 CH,SBL Pvt Ltd,NA,"['This dilution can help improve skin ailments', 'It soothes the skin and relieves dryness and itchiness', 'It is a homoeopathic medicine']",4.4,1197 Ratings
Dr Willmar Schwabe India Arum Dracontium Dilution 30 CH,Dr Willmar Schwabe India Pvt Ltd,NA,"['Homeopathy medicine', 'Helps to reduce pharynx inflmation', 'Provides relief from sore and tender throat', 'Consist of 30 CH']",4.5,27 Ratings
Medisynth Jondila Forte Syrup,Medisynth Chemicals Pvt Ltd,NA,"['Supports liver health', 'Helps to overcome debility', 'Improves digestion']",4.5,129 Ratings
Medisynth Jondila Sugar Free Syrup,Medisynth Chemicals Pvt Ltd,NA,"['Improves digestion', 'Increases appetite', 'Effective in jaundice, gallstones and liver complications']",4.4,205 Ratings
SBL Bio-Combination 17 Tablet,SBL Pvt Ltd,NA,"['Helps reduce bleeding', 'Provides relief from constipation', 'Minimises pains and aches']",4.5,340 Ratings
Medisynth Jondila Forte Syrup,Medisynth Chemicals Pvt Ltd,NA,"['Supports liver health', 'Helps to overcome debility', 'Improves digestion']",4.5,129 Ratings
Dr. Reckeweg China Off Mother Tincture Q,Dr Reckeweg & Co,NA,"['Prevents loss of vital fluids', 'Useful for chronic gout', 'Helps with chronic suppurative pyelitis', 'Manages debility and fever']",4.6,72 Ratings
SBL Carbo Vegetabilis Dilution 6 CH,SBL Pvt Ltd,NA,"['Relieves gum swelling and ulcers', 'Relieves flatulence, stomach cramps and indigestion', 'Improves breathing due to chest openness', 'Made from homoeopathic constitution, this medicine has no side effects']",4.6,1248 Ratings
Medisynth Jondila Forte Syrup,Medisynth Chemicals Pvt Ltd,NA,"['Supports liver health', 'Helps to overcome debility', 'Improves digestion']",4.5,129 Ratings
Boericke and Tafel Arnica Shampoo,Dr Willmar Schwabe India Pvt Ltd,NA,"['Paraben free herbal formula that imparts a tonic influence on the scalp', 'Enhances local blood circulation in scalp', 'Used to treat alopecia and premature graying', 'Promotes hair growth and healthy hair', 'Prevents hair fall']",4.1,119 Ratings
Allen A91 Uterine Fibroids Drop,Allen Homoeo & Herbal Products Ltd,NA,"['Supports reproductive health', 'Helps manage urinary tract health', 'Manages gastrointestinal symptoms like constipation']",4.5,35 Ratings
Wheezal WL57 Anti-Fungal Drop,Wheezal Homeo Pharma,NA,"['Helps in the treatment of ringworms, eczema, skin problems, etc', 'Assists in preventing the dry skin with brown spots', 'Prevents dry skin, with brown spots, dry scalpy eruption, especially around eyes and ears, scabs with pus underneath']",3.9,31 Ratings
Dr. Reckeweg Ammonium Carb Dilution 30 CH,Dr Reckeweg & Co,NA,NA,4.7,25 Ratings
Medisynth Diabekoll Non-Sugar Syrup,Medisynth Chemicals Pvt Ltd,NA,"['Regulates blood sugar levels', 'Improves energy levels', 'Relieves general debility', 'Comes in a non-sugar syrup base']",4.4,117 Ratings
Dr. Reckeweg Bio-Combination 1 (BC 1) Tablet,Dr Reckeweg & Co,NA,"['Helps in building tissues', 'Reduces inflammation and fever', 'Aids in the management of chronic anaemia']",4.6,68 Ratings
Bjain Ginkgo Biloba Mother Tincture Q,Bjain Pharmaceuticals Pvt Ltd,NA,"['It helps in the healing of intense muscular weakness and intellectual despair', 'It is a well-known homoeopathic remedy for respiratory and circulatory problems', 'It is effective for complaints such as blockage of the ears']",4.4,72 Ratings
Dr. Reckeweg Staphysagria Dilution 200 CH,Dr Reckeweg & Co,NA,"['Helps in alleviating stress and anxiety', ""Relieves children's teeth problems and colicky pains"", 'Helpful in relieving headaches', 'Useful for scalp and skin problems']",4.5,121 Ratings
SBL Geranium Maculatum Mother Tincture Q,SBL Pvt Ltd,NA,"['Helps with peptic ulcers', 'Relieves dizziness', 'Relieves diarrhoea and constipation']",4.3,31 Ratings
Allen's ArnicaPlus Hair Vitalizer,Allen Healthcare,NA,"['Helps in vitalizing hair roots , promoting hair growth, stimulating hair follicles and preventing excessive hair loss', 'Prevents hair loss, greying of hair and dandruff in the hair', 'Promotes hair growth and helps in making hair healthier and shinier', 'Provides nourishment and protection of hair', 'Increases hair strength and enhances elasticity']",4.4,51 Ratings
ADEL 57 Specl-Chol Digestion Drop,Adel Pekana Germany,NA,"['Shows indications against haemorrhoids and enteritis as a sign of the blood regulation in the venous circulation', 'Works against myocarditis, mental exhaustions, gastritis, ulcers ventriculi and ulcers duodeni', 'Gives cent per cent increase in pancreatic juice, which supports regulation of digestive functions']",4.6,37 Ratings
German's Height Grow Drop (30ml Each),German Homoeo Care and Cure Pvt. Ltd.,NA,"['Improves anaemic condition in children', 'Promotes optimum height', 'Improves concentration and memory power in children']",4.1,38 Ratings
SBL Gnaphalium Polycephalum Dilution 30 CH,SBL Pvt Ltd,NA,NA,4.5,142 Ratings
Dr Willmar Schwabe India Alpha-Liv Liver Tonic,Dr Willmar Schwabe India Pvt Ltd,NA,"['Manages liver-related problems', 'Maintains digestion', 'Detoxifies the body', 'Supports general health and well-being']",4.5,310 Ratings
Dr Willmar Schwabe India Topi Heal Cream,Dr Willmar Schwabe India Pvt Ltd,NA,NA,4.5,84 Ratings
Bhargava Bals Tablet,Bhargava Phytolab,NA,"['Prevents excessive hairfall from the crown', 'Reduces itching caused due to thick hair crust of seborrhea', 'Dandruff and baldness is also minimized', 'Also effective in controlling premature graying of hair']",4.2,20 Ratings
SBL Pimplex Tablet,SBL Pvt Ltd,NA,"['It helps to condition pimples and acne problems', 'It relieves blackheads and painful red lumps or cysts on the skin', 'It helps to lighten scar marks']",4.2,44 Ratings
Haslab Jaborand Hair Lotion,HASLAB,NA,"['Prevents hair falling and dandruff', 'Prevents premature whitening of hair', 'Manages baldness and alopecia']",4.3,61 Ratings
Bakson's Homeopathy Homoeopathic Formula P Tablet,Bakson Drugs &  Pharmaceuticals Pvt. ltd.,NA,"['Provides relief from prostate issues', 'Promotes normal functioning of the gland without side effects', 'Helps manage painful and frequent urination']",4.6,65 Ratings
Rxhomeo Nux Vomica 30C Pellets,Rxhomeo Private Limited,NA,"['Helps in treating dysentery when there is great tenesmus and mucus with stool', 'Helps in snuffles of infants with catarrh and coryza which is dry at night and fluent in the day time', 'Nux Vomica is indicated in anxiety and anger effects']",4.9,14 Ratings
Dr. Reckeweg Agnus Castus Dilution 200 CH,Dr Reckeweg & Co,NA,"['Helps enhance mood', 'Increases energy levels', 'Regulates the menstrual cycle', 'Alleviates arthritic and rheumatic pain']",4.3,192 Ratings
Bjain Avena Sativa Mother Tincture Q,Bjain Pharmaceuticals Pvt Ltd,NA,NA,4.4,114 Ratings
Dr. Reckeweg R95 Alfalfa Tonic,Dr Reckeweg & Co,NA,"['Helps to overcome lack of appetite, loss of weight, weariness, anxiety, and impotence', 'Facilitates normal functioning of the nervous system', 'Works to provide relief in case of muscle cramps', 'Energises vital functions in the body and promotes overall health']",4.5,213 Ratings
Dr. Reckeweg Acid Phosphoric Dilution 200 CH,Dr Reckeweg & Co,NA,NA,4.1,67 Ratings
Dr. Reckeweg Blatta Ori Mother Tincture Q,Dr Reckeweg & Co,NA,NA,4.1,42 Ratings
Bakson's Homeopathy Kali Phosphoricum Biochemic Tablet 6X,Bakson Drugs &  Pharmaceuticals Pvt. ltd.,NA,"['Manages\xa0 Neurasthenia', 'Effective in septic Haemorrhages', 'For Diarrhoea, Dysentery, adynamic or Typhoid conditions']",4.5,38 Ratings
SBL Lemna Minor Dilution 30 CH,SBL Pvt Ltd,NA,NA,4.4,154 Ratings
Wheezal Mixture Syrup,Wheezal Homeo Pharma,NA,"['Helps reduces violent bouts of a cough', 'Expectorant and helps in evacuating phlegm', 'Helps in facilitating recovery from cough and wheezes', 'Helps in relieving chest congestion']",4.7,237 Ratings
SBL Holarrhena Antidysenterica Mother Tincture Q,SBL Pvt Ltd,NA,NA,4.5,77 Ratings
Dr. Reckeweg Selenium Dilution 30 CH,Dr Reckeweg & Co,NA,"['Beneficial in reducing blackheads with an oily surface of the skin', 'Indicated in the management of acne', 'Helps in reducing itching in folds of skin']",4.3,163 Ratings
SBL Cantharis Ointment,SBL Pvt Ltd,NA,"['Soothes burns', 'Reduces redness', 'Helps prevent blisters']",4.7,94 Ratings
Bakson's Homeopathy Kof Aid Plus Cough Syrup Sugar Free,Bakson Drugs &  Pharmaceuticals Pvt. ltd.,NA,"['Provides quick relief from cough', 'Does not cause drowsiness']",4.5,190 Ratings
Dr Willmar Schwabe India Urtica Urens Mother Tincture Q,Dr Willmar Schwabe India Pvt Ltd,NA,"['Is one of our remedies for allergic hives', 'Urtica urens helps reduce the pain and swelling of bee and wasp bites', 'May help to promote the production of milk in the breasts']",4.4,86 Ratings
Dr. Reckeweg Thuja Occi Mother Tincture Q,Dr Reckeweg & Co,NA,"['Primarily used for rheumatic and arthritic pain', 'Useful for various skin ailments', 'Improves gut health', 'Helps to relieve headaches']",4.8,58 Ratings
Bjain Arsenicum Bromatum Dilution 6 CH,Bjain Pharmaceuticals Pvt Ltd,NA,"['Provides help in treating intermittent fevers and glandular tumors usually of syphilitic origin', 'Helps in treating the acne marks ans scars', 'Helps to control the diabetics and its sugar level']",4.3,78 Ratings
Dr. Reckeweg Calendula Off Mother Tincture Q,Dr Reckeweg & Co,NA,"['Alleviates rheumatic pain', 'Promotes wound healing', 'Useful in cases of mouth ulcers', 'Deals with keloids']",4.6,55 Ratings
Dr. Reckeweg Robinia Pseu Dilution 30 CH,Dr Reckeweg & Co,NA,NA,4.6,85 Ratings
Bjain Sabal Serrulata Mother Tincture Q,Bjain Pharmaceuticals Pvt Ltd,NA,"['Useful in genito-urinary organ affection', 'Helps to improve the body weight', 'Alleviates the mucous membrane']",4.4,93 Ratings
Medisynth Jondila Forte Syrup,Medisynth Chemicals Pvt Ltd,NA,"['Supports liver health', 'Helps to overcome debility', 'Improves digestion']",4.5,129 Ratings
Medisynth Jondila Sugar Free Syrup,Medisynth Chemicals Pvt Ltd,NA,"['Improves digestion', 'Increases appetite', 'Effective in jaundice, gallstones and liver complications']",4.4,205 Ratings
Bakson's Homeopathy Pelvi Aid Tablet,Bakson Drugs &  Pharmaceuticals Pvt. ltd.,NA,"['Helps manage disorders of the female reproductive system', 'May help balance the hormones', 'Helps fight pelvic pain', 'Helps reduce itching in the intimate area']",4.6,34 Ratings
Medisynth Jondila Forte Syrup,Medisynth Chemicals Pvt Ltd,NA,"['Supports liver health', 'Helps to overcome debility', 'Improves digestion']",4.5,129 Ratings
SBL Astacus Fluviatilis Dilution 6 CH,SBL Pvt Ltd,NA,NA,4.3,82 Ratings
Bakson's Homeopathy AC#4 Tablet,Bakson Drugs &  Pharmaceuticals Pvt. ltd.,NA,"['Helps relieve dandruff', 'Provides relief from itching', 'Promotes hair growth']",4.1,50 Ratings
Medisynth Jondila Forte Syrup,Medisynth Chemicals Pvt Ltd,NA,"['Supports liver health', 'Helps to overcome debility', 'Improves digestion']",4.5,129 Ratings
SBL Kali Phosphoricum Biochemic Tablet 30X,SBL Pvt Ltd,NA,"['Relieves muscle weakness, anxiety, depression and chronic fatigue', 'Increases stamina both physically and mentally', 'Helps to increase the blood flow during menses', 'Helps in recovering severe skin conditions and irritations']",4.6,1363 Ratings
SBL Iodium Dilution 1000 CH,SBL Pvt Ltd,NA,NA,4.4,203 Ratings
Dr Willmar Schwabe India Topi Azadirachta Cream,Dr Willmar Schwabe India Pvt Ltd,NA,NA,4.4,115 Ratings
SBL Justicia Adhatoda Dilution 1000 CH,SBL Pvt Ltd,NA,"['Manages concerns assocaited with respiration', 'Reduces cough and relieves congestion in the chest', 'Relieves pain and dryness in the throat']",4.7,183 Ratings
Medisynth Diabekoll Non-Sugar Syrup,Medisynth Chemicals Pvt Ltd,NA,"['Regulates blood sugar levels', 'Improves energy levels', 'Relieves general debility', 'Comes in a non-sugar syrup base']",4.4,117 Ratings
Dr Willmar Schwabe India Daphne Indica Tablet 1X,Dr Willmar Schwabe India Pvt Ltd,NA,"['Relieves headaches and drowsiness', 'Heaviness around the eyes', 'Cough with vomiting', 'Tobacco de-addiction and related symptoms']",4.2,29 Ratings
Dr. Reckeweg Kali Bichrom Dilution 200 CH,Dr Reckeweg & Co,NA,"['Helps alleviate respiratory conditions', 'Useful for digestive disorders', 'Improves skin conditions', 'Helps with urinary tract infections', 'Manages allergies']",4.4,152 Ratings
SBL Natrum Phosphoricum Biochemic Tablet 12X,SBL Pvt Ltd,NA,"['Manages concerns associated with digestion', 'Eases diverse symptoms including nausea, heartburn, and dizziness', 'Supports holistic well-being with applications for both physical and sensory concerns']",4.6,386 Ratings
Dr Willmar Schwabe India Janosia Ashoka Mother Tincture Q,Dr Willmar Schwabe India Pvt Ltd,NA,"['Helps support the menstrual cycle', 'Provides relief from headache', 'Aids in relieving constipation']",4.6,67 Ratings
German's 539 Varicose Veins Drop,German Homoeo Care and Cure Pvt. Ltd.,NA,"['An effective remedy for Venous stasis, varicosis and varicose ailments, varicose eczema', 'Helps with inflammation of the veins and choking of the veins in the lower limbs']",4.3,43 Ratings
LDD Bioscience Hydrastis Canadensis Mother Tincture Q,LDD Bioscience Pvt Ltd,NA,"['Helps treat coryza and catarrh', 'Eases menstruation and ear pains', 'Gives relief from ulcers and eczema', 'Effective in improving appetite']",4.1,46 Ratings
SBL Folliculinum Dilution 30 CH,SBL Pvt Ltd,NA,NA,4.6,144 Ratings
SBL Medorrhinum Dilution 200 CH,SBL Pvt Ltd,NA,NA,4.5,141 Ratings
Lord's Five Phos Biocombination Tablet 6X,Lord's Homoeopathic Laboratory Pvt Ltd,NA,"['Helps to increase Hb in feeding mothers, gives energy and tones body', 'Assists to relieve stress and also improves memory', 'Gives a fresh feeling and desire to work with full energy', 'Restores energy and begin regeneration of the body’s nerves and muscles']",4.5,145 Ratings
Dr Willmar Schwabe India Carica Papaya Mother Tincture Q,Dr Willmar Schwabe India Pvt Ltd,NA,"['Relieves indigestion', 'Kills intestinal worms', 'Regulates cholesterol', 'Fights arthritic pain']",4.4,46 Ratings
Dr. Reckeweg Bio-Combination 2 (BC 2) Tablet,Dr Reckeweg & Co,NA,"['Provides relief in tickling cough', 'Helps reduce gasping irregular pulse', 'Aids in the management of bronchial asthma']",4.7,50 Ratings
Bjain Omeo Allergy Tablet,Bjain Pharmaceuticals Pvt Ltd,NA,"['Aids in reducing sneezing and rhinorrhea', 'Works to provide relief in the case of itchy and watery eyes', 'Facilitates relief in the conditions of itchy nose and throat']",4.2,69 Ratings
Allen A31 Warts Drop,Allen Homoeo & Herbal Products Ltd,NA,NA,4.4,48 Ratings
SBL Guaiacum Mother Tincture Q,SBL Pvt Ltd,NA,"['Eases throat dryness and soreness', 'Useful for chronic rheumatism', 'Relieves joint and back pain', 'Can help with saliva dribbling']",4.6,63 Ratings
SBL Lemna Minor Dilution 200 CH,SBL Pvt Ltd,NA,NA,4.4,154 Ratings
SBL Euphrasia Officinalis Dilution 30 CH,SBL Pvt Ltd,NA,"['Relieves eye-related concerns', 'Supports respiratory health', 'Manages skin-related concerns']",4.7,161 Ratings
